Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
9,20,9_painted_paint_painting_coat,"['painted', 'paint', 'painting', 'coat', 'steel', 'enamel', 'stainless', 'glossy', 'polyurethane', 'slag']","['steel', 'coat', 'smooth', 'paint', 'structures', 'thickness', 'stainless', 'splatter', 'primer', 'spray']","['painting', 'polyurethane', 'slag', 'weld', 'handrail', 'guards', 'specification', 'sherwin', 'mill', 'nonmetallic']","['Fabricated items with loose mill scale, rust weld splatter, slag, flux, or other foreign matter shall be removed by tool cleaning in accordance with Steel Structures Paint Council SSP-SP3.', 'All fabricated items, except handrail, deck, and toe plate shall be painted with at least one primer coat and one finish coat Supplier shall recommend suitable coatings and provide specification for Purchaserís review and approval prior to application.', 'Roll construction shall be tubular steel with a hard chrome surface The rolls shall receive a suitable substrate preparation before being plated with a 0.005 inch thickness of hard chrome The final roll face surface finish shall be 32 rms, matte The vendor shall supply the Purchaser with details of the roll construction before fabrication The Supplier shall provide adjustment of all rolls.']"
10,20,10_wires_wire_coils_wiring,"['wires', 'wire', 'coils', 'wiring', 'coil', 'splices', 'connector', 'terminals', 'connections', 'plugs']","['wire', 'coil', 'wiring', 'ft', 'terminal', 'coils', 'wires', 'junction', 'terminations', 'ends']","['wires', 'splices', 'crimping', 'distributor', 'storing', 'boxes', 'terminations', 'schemes', 'instructions', 'labels']","['The container shall also carry, in a different location, the name and/or brand name of the wire manufacturer, and necessary instructions for storing and handling', 'The container shall also carry, in a different location, the name and/or brand name of the wire manufacturer, and necessary instructions for storing and handling', 'all wire ends will have crimped metal shunt ends the appropriate size for the wiring being used bare wire ends can be used for incoming high voltage terminal connections greater the 480v only appropriate controlled pressure crimping tools will be used to crimp wires during assembly.']"
11,19,11_dsh_modes_mode_configuration,"['dsh', 'modes', 'mode', 'configuration', 'standbyfp', 'standby', 'commands', 'firmware', 'tm', 'standbylp']","['mode', 'state', 'states', 'capability', 'modes', 'commands', 'following', 'data', 'external', 'configuration']","['dsh', 'modes', 'standbyfp', 'firmware', 'tm', 'configuring', 'command', 'maintenance', 'shutdown', 'frequency']","['DSH shall have the following Modes and report these modes to TM: \na) SHUTDOWN\nb) STARTUP \nc) STANDBY_LP \nd) STANDBY_FP \ne) STOW \nf) MAINTENANCE \ng) CONFIGURE \nh) OPERATE', 'DSH shall set all internal states, modes and configuration data for DSH items, based on the external state, mode, configuration and capability commands received from TM.', 'DSH shall receive the following mode control commands from TM: \na) STANDBY_LP\nb) STANDBY_FP\nc) STOW\nd) MAINTENANCE\ne) CONFIGURE BAND X\nf) OPERATE\ng) Go to LP state (while in STOW or MAINTENANCE)']"
12,19,12_cspmidcbf_cspmidlmc_faults_maintenance,"['cspmidcbf', 'cspmidlmc', 'faults', 'maintenance', 'lru', 'diagnostic', 'mode', 'failures', 'warnings', 'administrative']","['transition', 'failures', 'state', 'sub', 'duration', 'critical', 'safe', 'hazard', 'faults', 'path']","['cspmidlmc', 'faults', 'maintenance', 'lru', 'diagnostic', 'warnings', 'detect', 'offline', 'hazard', 'isolate']","['While the CSP_Mid.CBF Administrative Mode is set to ONLINE or MAINTENANCE, CSP_Mid.CBF shall detect and report 99% of all\nCritical Failures.', 'While the CSP_Mid.CBF Administrative Mode is set to ONLINE or MAINTENANCE, CSP_Mid.CBF shall detect all utilized sub- element LRU to LRU and LRU to external LRU communication path faults with a detection probability of at least 99%.', 'When commanded and with the CSP_Mid.CBF Administrative Mode set to OFFLINE, CSP_Mid.CBF shall detect and report 99% of sub-element LRU to LRU and LRU to external interface communication path faults.']"
13,19,13_mhz_pulsar_beamforming_frequency,"['mhz', 'pulsar', 'beamforming', 'frequency', 'bandwidth', 'beam', 'channels', 'cspmidcbf', 'rfi', 'beamformer']","['beamforming', 'beams', 'bandwidth', 'form', 'least', 'channel', 'subarray', 'beamformer', 'beam', 'response']","['mhz', 'pulsar', 'beamforming', 'cspmidcbf', 'rfi', 'subarrays', 'polarization', 'dual', 'amplitude', 'central']","['For any Band and for each Pulsar Timing beam, CSP_Mid.CBF shall:\n1. form 3500 to 4096 equally-spaced spectral channels across the 200 MHz Frequency Slice beamforming bandwidth such that the total aliased power in at least the central 87.5% of each channel contains, in the absence of RFI, less than -60 dB total aliased power,\n2. the peak-to-peak variation in amplitude across at least the central 87.5% of each channel is less than 0.1 dB and,\n3. form channels which are linearly spaced and provide contiguous bandwidth coverage meeting bullet 1. and\n2. requirements across the full beamformed bandwidth of one or more Frequency Slices.', 'When commanded, each Frequency Slice Processor of CSP_Mid.CBF which is configured for Pulsar Search beamforming, shall form at least up to 192 Pulsar Search beams, aggregate across all subarrays, on at least one Search Window for each subarray.', 'When commanded, CSP_Mid.CBF shall form up to 16 dual- polarization Pulsar Timing phase-delay beams, distributed arbitrarily across one or more subarrays, within each Frequency Slice Processor configured for Pulsar Timing beamforming.']"
14,19,14_dsh_enclosure_pedestal_pedestals,"['dsh', 'enclosure', 'pedestal', 'pedestals', 'equipment', 'sadtdsh', 'icds', 'maintenance', 'subsystems', 'protection']","['environmental', 'pedestal', 'conditions', 'equipment', 'internal', 'enclosure', 'storage', 'power', 'condensation', 'locations']","['enclosure', 'pedestal', 'sadtdsh', 'icds', 'subsystems', 'withstand', 'regulations', 'weather', 'seismic', 'degradation']","[""DSH shall provide an environmentally protected enclosure inside the Pedestal Shielded Compartment and maintain the internal conditions as defined by DSH Consortium Operating Conditions for equipment located inside the PSC. SADT equipment internal to the pedestal's heat load as defined in 300-000000-026."", 'The DSH shall provide an environmental protected enclosure and maintain the internal environmental conditions as defined by the Non Operating Conditions for equipment located inside the pedestal while being subjected to the Survival Conditions.', 'The DSH shall provide an environmental protected enclosure and maintain the internal environmental conditions during operation as defined by the Operating Conditions for equipment located inside the pedestal while being subjected to the Precision, Standard, Degraded and Extreme Operating Conditions.']"
15,18,15_iec_cspmidcbf_csp_cpf,"['iec', 'cspmidcbf', 'csp', 'cpf', 'mid', 'compliant', 'electromagnetic', 'radiated', 'electrical', 'radiofrequency']","['standard', 'setups', 'equivalent', 'compliant', 'immunity', 'latest', 'electrical', 'version', 'network', 'accordance']","['iec', 'cspmidcbf', 'mid', 'electromagnetic', 'radiofrequency', 'guidelines', '60950', 'compatibility', 'emissions', 'immunity']","['CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-4-3 standard or equivalent for radiated, radio-frequency, electromagnetic field immunity under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.', 'CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-4-4 standard or equivalent for electrical fast transient/burst immunity under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.', 'CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-4-8 standard or equivalent for power frequency magnetic field immunity under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.']"
16,18,16_beamchannels_beamchannel_mhz_rfi,"['beamchannels', 'beamchannel', 'mhz', 'rfi', 'bandwidths', 'rfiflagging', 'vlbi', 'frequency', 'bandwidth', 'channelized']","['bandwidth', 'sampled', 'beam', 'frequency', 'least', 'bandwidths', 'output', 'center', 'more', 'beamformer']","['beamchannels', 'mhz', 'rfi', 'rfiflagging', 'vlbi', 'cspmidcbf', 'outofbeamformed', '448', 'stopband', 'configurable']","[""For any VLBI beam-channel, in any Band, CSP_Mid.CBF shall provide a beamformed bandwidth of at least the central 82% of the beam-channel's sampled bandwidth for sampled bandwidths of 128 MHz or less and at least the central Frequency Slice processed bandwidth for sampled bandwidths of 224 MHz or greater."", ""When commanded, independently within each Frequency Slice Processor configured for VLBI, CSP_Mid.CBF shall produce and deliver to VLBI equipment up to at least 24 VLBI beam-channels, each derived from a selectable beam, allocated arbitrarily across all VLBI sub-arrays, such that:\n1. each beam-channel shall be tunable with at least 0.01 MHz tuning resolution and,\n2. each beam-channel's sampled bandwidth is fully contained within the source beam sampled bandwidth."", 'When commanded, CSP_Mid.CBF shall, independently for each VLBI subarray in each Frequency Slice Processor configured for VLBI, change the source Frequency Slice of each VLBI beam and/or the center frequency of any derived beam-channel with at least 0.01 MHz tuning resolution.']"
17,18,17_cooling_cooled_thermal_cspmidcbf,"['cooling', 'cooled', 'thermal', 'cspmidcbf', '20c', 'csp', 'temperature', 'cpf', 'racks', 'kw']","['air', 'racks', 'latest', 'version', 'cool', 'rack', 'accordance', 'humidity', 'hot', 'cold']","['cooling', 'cspmidcbf', '20c', 'temperature', 'racks', 'kw', 'icd', 'humidity', 'rating', 'exhaust']","['The air cooled thermal load of CSP_Mid.CBF racks shall be less than 11 kW per rack in accordance with the latest approved version of the MID CSP to INFRA ICD.', 'The CSP_Mid.CBF rack air cooling interface shall be in accordance with the latest approved version of the MID CSP to\nINFRA\nICD:\n1. Airflow direction: racks ingest cool air from the cold aisle at the front of the racks and exhaust hot air from the rear of the racks into the hot aisle.\n2. Cool air temperature: ambient air in the cold aisles of the CPF remains between 18 and 27°C for 95% of the time (the recommended range).\n3. Cool air temperature rate of change: <= 5°C per hour.\n4. Cool air humidity: non-condensing, 5% - 85% relative humidity (RH).\n5. Cool air humidity rate of change: <=5% RH per hour, no condensation.\n6. Air pressure: local atmospheric pressure +-20%.', 'The CSP_Mid.CBF rack air cooling interface shall be in accordance with the latest approved version of the MID CSP to INFRA ICD. It is expected that the rack air cooling will never exceeding the allowable range:\n1. Airflow direction: racks ingest cool air from the cold aisle at the front of the racks and exhaust hot air from the rear of the racks into the hot aisle.\n2. Cool air temperature: ambient air in the cold aisles of the CPF remains between 15 and 32 °C.\n3. Cool air temperature rate of change: <= 20°C per hour.\n4. Cool air humidity: non-condensing, 20% - 80% relative humidity (RH)\n5. Cool air humidity rate of change: <=5% RH per hour, no condensation.\n6. Air pressure: local atmospheric pressure +-20%.']"
18,18,18_warranties_warranty_warrants_repair,"['warranties', 'warranty', 'warrants', 'repair', 'repaired', 'maintenance', 'manufacturers', 'replacing', 'merchantability', 'replacement']","['warranty', 'seller', 'products', 'errors', 'software', 'repair', 'omissions', 'buyer', 'defective', 'project']","['warranties', 'repair', 'merchantability', 'liability', 'contract', 'hardware', 'errors', 'modifying', 'software', 'disclaim']","[' The seller shall not warranty standard maintenance of products and failure to perform maintenance as would be considered standard on similar equipment or which have been subject to misuse neglect or accident will invalidate any warranty for the Products in whole or part. ', ' The obligations of the seller under this warranty shall be limited to replacing or modifying at the option of the seller the software which after examination is disclosed to the satisfaction of Seller to be defective then the   Defective software is defined as documentable recurring errors that do not perform as specified in the contract specification. ', ' If the buyer submits to the seller that the products do not conform to the warranty the seller shall inspect the products to determine their status and if the products are found not to conform with warranty then the Seller will repair replace or modify the Products at the Sellers option and at no cost to the Buyer and the Non conforming Products shall be defined as documentable recurring errors that do not perform as specified in the contract specification and Such repair or replacement shall be the only remedy of the Buyer for any breach of warranty. ']"
19,17,19_precision_pointing_circle_perreceptor,"['precision', 'pointing', 'circle', 'perreceptor', 'arcsec', 'rms', 'range', 'calibration', 'measured', 'performance']","['pointing', 'arcsec', 'circle', 'performance', 'total', 'full', 'range', 'interval', 'seconds', 'great']","['precision', 'circle', 'perreceptor', 'arcsec', 'rms', 'range', 'calibration', 'tracking', 'target', 'tolerance']","['The total per-receptor Relative Pointing Error Circle diameter under Precision Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 6.5 arcsec.', 'The total per-receptor RMS Relative Pointing Error under Degraded Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 5.2 arcsec RMS.', 'The total per-receptor RMS Relative Pointing Error under Precision Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 1.3 arcsec RMS.']"
20,16,20_pipe_tests_bend_test,"['pipe', 'tests', 'bend', 'test', 'thicknesses', 'thickness', 'specimen', 'bent', 'retest', 'diameter']","['diameter', 'pipe', 'mm', 'length', 'test', 'outside', 'wall', 'bend', 'thickness', 'flattening']","['pipe', 'thicknesses', 'retest', 'specimens', 'specification', 'notch', 'hydrostatic', 'balers', 'nondestructive', 'tolerance']","['For pipe whose diameter exceeds 25 in. [635 mm] and whose diameter to wall thickness ratio, where the diameter to wall thickness ratio is the specified outside diameter divided by the nominal wall thickness, is 7.0 or less, the bend test shall be conducted. The bend test specimens shall be bent at room temperature through 180° with the inside diameter of the bend being 1 in. [25 mm] without cracking on the outside portion of the bent portion', 'Test specimens for the bend test specified in 11.2 shall be cut from one end of the pipe and, unless otherwise specified, shall be taken in a transverse direction. One test specimen shall be taken as close to the outer surface as possible and another from as close to the inner surface as possible. The specimens shall be either 1⁄2 by 1⁄2 in. [12.5 by 12.5 mm] in section or 1 by 1⁄2 in. [25 by 12.5 mm] in section with the corners rounded to a radius not over 1⁄16 in. [1.6 mm] and need not exceed 6 in. [150 mm] in length. The side of the samples placed in tension during the bend shall be the side closest to the inner and outer surface of the pipe respectively', 'The flattening test of Specification A530/A530M shall be made on a specimen from one end or both ends of each pipe. Crop ends may be used. If this supplementary requirement is specified, the number of tests per pipe shall also be specified. If a specimen from any length fails because of lack of ductility prior to satisfactory completion of the first step of the flattening test requirement, that pipe shall be rejected subject to retreat_x0002_ment in accordance with Specification A530/A530M and satisfactory retest. If a specimen from any length of pipe fails because of a lack of soundness, that length shall be rejected, unless subsequent retesting indicates that the remaining length is sound']"
21,16,21_cspmidcbf_csp_icd_sdp,"['cspmidcbf', 'csp', 'icd', 'sdp', 'is1msdpcsp001', 'interface', 'is1msadtcsp005', 'is1msadtcsp003', 'is1msadtcsp009', 'is1msadtcsp004']","['interface', 'section', 'compliant', 'visibility', '', '', '', '', '', '']","['cspmidcbf', 'icd', 'sdp', 'is1msdpcsp001', 'ddbh', 'transmit', 'addressing', 'vlbi', 'packets', 'generate']","['The CSP_Mid.CBF visibility interface to SADT shall be compliant with the Interface ID I.S1M.SADT_CSP.005 section of the MID SADT to CSP ICD.', 'The SADT DDBH interface to CSP_Mid.CBF shall be compliant with the Interface ID I.S1M.SADT_CSP.009 section of the MID SADT to CSP ICD.', 'The CSP_Mid.CBF VLBI interface to SADT shall be compliant with the Interface ID I.S1M.SADT_CSP.008 section of the MID SADT to CSP ICD.']"
22,16,22_welded_structural_frame_frames,"['welded', 'structural', 'frame', 'frames', 'constructed', 'built', 'extrusions', 'tubing', 'reinforced', 'tubular']","['structural', 'frame', 'members', 'frames', 'loads', 'box', 'station', 'framework', 'engineer', 'process']","['welded', 'frames', 'built', 'extrusions', 'reinforced', 'box', 'stands', 'stresses', 'presses', 'astm']","[' Each box end threading inspection station frame shall be constructed of welded structural members. ', ' Each lift station frame shall be constructed of welded structural members. ', ' Each lift station frame shall be constructed of welded structural members. ']"
23,15,23_pipe_blast_pneumatic_rollers,"['pipe', 'blast', 'pneumatic', 'rollers', 'lift', 'lowered', 'lifted', 'vrollers', 'rotational', 'lifting']","['blast', 'end', 'box', 'station', 'lower', 'radial', 'pipe', 'vrollers', 'rollers', 'transfer']","['pipe', 'blast', 'pneumatic', 'rollers', 'lifting', 'rotating', 'transferred', 'assembly', 'proximity', 'gearmotors']","[' After the pipe is in position with in the box end end blast station the radial rollers shall rise and the vrollers shall lower. ', ' The box end end blast station vrollers shall lower after the pipe is trasferred into the box end end blast station and the pipe shall rest on the radial rollers. ', ' The vrollers shall rise and the radial rollers shall lower to transfer the pipe out of the box end end blast station. ']"
24,15,24_tooling_tools_equipment_features,"['tooling', 'tools', 'equipment', 'features', 'components', 'replacing', 'interchanged', 'calibration', 'jigs', 'adjustments']","['tooling', 'tools', 'fixtures', 'items', 'alignment', 'change', 'tuning', 'replacement', 'actions', 'calibration']","['tooling', 'features', 'components', 'interchanged', 'calibration', 'indicators', 'ilm', 'scope', 'tuning', 'debugging']","['the entire base plate where tooling and fixtures are mounted must be completely removable for each process in such a manner that a new base plate with new tooling can be interchanged.', 'equipment shall detect tooling type and incorporate poka yoke features equipment shall alarm if tooling is installed incorrectly or if the wrong tooling is installed the tooling should have visual indicators to facilitate change over.', 'supplier will provide setup tools and jigs to eliminate measurements or debugging after change out tooling or fixtures are installed.']"
