Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
9,32,9_dish_pointing_ranging_tracking,"['dish', 'pointing', 'ranging', 'tracking', 'coordinates', 'angles', 'range', 'azimuth', 'performance', 'axis']","['dish', 'pointing', 'element', 'model', 'elevation', 'tracking', 'corrections', 'band', 'time', 'performance']","['dish', 'ranging', 'axis', 'elevation', 'precision', 'monitoring', 'frequency', 'capabilities', 'dshtm', 'map']","['The dish element shall achieve full performance as specified for pointing and tracking, over the full performance pointing range with elevation rates ranging from 0 up to 0.08 deg/sec.', 'The dish element shall achieve full performance as specified for pointing and tracking, over the full performance pointing range with azimuth rates ranging from 0 up to 0.3 deg/sec.', 'The dish element shall achieve full performance as specified for pointing, tracking and scanning at all coordinates with elevation angles from 15° up to 85° and azimuth within the range from -270° to +270°, all angles inclusive of pointing model corrections.']"
10,31,10_ska1_ska1mid_sensitivity_polarization,"['ska1', 'ska1mid', 'sensitivity', 'polarization', 'dish', 'channels', 'range', 'spf', 'ranges', 'mhz']","['dish', 'band', 'sensitivity', 'operating', 'channels', 'precision', 'standard', 'conditions', 'polarization', 'range']","['ska1', 'sensitivity', 'polarization', 'channels', 'spf', 'ranges', 'rms', 'spectra', 'dishes', 'horizon']","['The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 3.', 'The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 4.', 'The sensitivity of a SKA1_Mid dish shall not be less than the following compared to that which is specified in R.M.P.1, at any pointing angle over the full accessible elevation range, under precision and standard operating conditions, and when calculated as an average over any 1 MHz interval over the specified frequency range in both polarization channels: 75% for SPF band 1.']"
11,30,11_aec_design_engineering_project,"['aec', 'design', 'engineering', 'project', 'audits', 'approval', 'planning', 'scheduled', 'drawings', 'schedule']","['project', 'design', 'customer', 'schedule', 'delivery', 'meeting', 'week', 'approval', 'meetings', 'timely']","['aec', 'design', 'audits', 'approval', 'scheduled', 'meetings', 'ibc', 'notice', 'certificate', 'notes']","[' Engineering design documents shall be submitted for Customer approval of the Design at Design Review and Design Verification and once the design is approved by the Customer at Design Review or Design Verification then the Design is fixed and changes to the Design after Customer approval that result in additional cost or delay to the AEC will require Customer approval of an Engineering Change Notice before proceeding. ', ' The AEC shall assign a Project Manager and design team to your project. ', ' The AEC shall encourage direct contact between the customer and the design staff continuously through the project however all communication regarding schedule cost delivery and or changes to the project shall be conducted through and approved by the Project Manager. ']"
12,30,12_beamchannels_beamchannel_rfi_mhz,"['beamchannels', 'beamchannel', 'rfi', 'mhz', 'bandwidths', 'bandwidth', 'channel', 'vlbi', 'frequency', 'beamformed']","['bandwidth', 'channel', 'frequency', 'visibility', 'sampled', 'least', 'bandwidths', 'spectral', 'beam', 'output']","['beamchannels', 'rfi', 'mhz', 'resolution', 'cspmidlmcenableddisabled', 'spectrally', 'sky', 'shall', 'polarization', 'dualpolarization']","[""When commanded, independently within each Frequency Slice Processor configured for VLBI, CSP_Mid.CBF shall produce and deliver to VLBI equipment up to at least 24 VLBI beam-channels, each derived from a selectable beam, allocated arbitrarily across all VLBI sub-arrays, such that:\n1. each beam-channel shall be tunable with at least 0.01 MHz tuning resolution and,\n2. each beam-channel's sampled bandwidth is fully contained within the source beam sampled bandwidth."", 'When commanded, CSP_Mid.CBF shall, independently for each VLBI subarray in each Frequency Slice Processor configured for VLBI, change the source Frequency Slice of each VLBI beam and/or the center frequency of any derived beam-channel with at least 0.01 MHz tuning resolution.', ""For any VLBI beam-channel, in any Band, CSP_Mid.CBF shall provide a beamformed bandwidth of at least the central 82% of the beam-channel's sampled bandwidth for sampled bandwidths of 128 MHz or less and at least the central Frequency Slice processed bandwidth for sampled bandwidths of 224 MHz or greater.""]"
13,24,13_deactivation_hmis_hmi_timers,"['deactivation', 'hmis', 'hmi', 'timers', 'switches', 'sensor', 'controlled', 'bypassed', 'off', 'mode']","['cylinder', 'time', 'manual', 'error', 'sensors', 'status', 'shift', 'timers', 'password', 'actuator']","['deactivation', 'hmis', 'timers', 'switches', 'mode', 'password', 'sensors', 'messages', 'actuator', 'hhmmss']","['each station can be switched off bypassed separately through the hmi (password protected) deactivation of a station must be indicated by the module status lighting (see 2.7).', 'all error messages must be displayed on the hmi fault information must be as detailed aspossible error messages shall not block the hmi all functions of the hmi shall remain accessible and operable even with an error message present a bad operation must be signalized by a red light, a good operation by a green light.', 'end-of-stroke cylinder sensors must monitor every pneumatically triggered actuator movement end of stroke cylinder switches must be solid state reed switches are not permitted functional failures must be displayed on the hmi and must correspond to the labeling of the actuator and end-of-stoke switch valve banks and cylinder sensors must be equipped with an led indicating the signal status end-of-stroke switches must be supplied with sensors to support fast exchange and must feature a led to display the signal status.']"
14,20,14_painted_paint_painting_steel,"['painted', 'paint', 'painting', 'steel', 'coat', 'surfaces', 'enamel', 'surface', 'specification', 'rust']","['steel', 'coat', 'suitable', 'construction', 'paint', 'surfaces', 'carbon', 'finish', 'primer', 'reducers']","['paint', 'surfaces', 'enamel', 'specification', 'glossy', 'polyurethane', 'handrail', 'rods', 'industrial', 'carbon']","['Unless otherwise specified, standard practices as covered by the American Iron and Steel Institute in the latest revision of the AISI Steel Products Manual, Wire and Rods, Carbon Steel, shall govern on all points covered by this specification', 'Roll construction shall be tubular steel with a hard chrome surface The rolls shall receive a suitable substrate preparation before being plated with a 0.005 inch thickness of hard chrome The final roll face surface finish shall be 32 rms, matte The vendor shall supply the Purchaser with details of the roll construction before fabrication The Supplier shall provide adjustment of all rolls.', 'All fabricated items, except handrail, deck, and toe plate shall be painted with at least one primer coat and one finish coat Supplier shall recommend suitable coatings and provide specification for Purchaserís review and approval prior to application.']"
15,19,15_components_supplier_equipment_yarn,"['components', 'supplier', 'equipment', 'yarn', 'documents', 'assembly', 'purchasers', 'tools', 'framework', 'purchaser']","['data', 'following', 'controls', 'major', 'documents', 'drawings', 'components', 'equipment', 'charge', 'field']","['components', 'supplier', 'equipment', 'yarn', 'documents', 'purchasers', 'framework', 'expenses', 'contract', 'supervision']","['The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: Creel Framework Assembly.', 'The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: Yarn Rollers.', 'The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: All assembly hardware.']"
16,19,16_mhz_pulsar_beamforming_frequency,"['mhz', 'pulsar', 'beamforming', 'frequency', 'beam', 'cspmidcbf', 'bandwidth', 'rfi', 'channels', 'beamformer']","['beamforming', 'beams', 'bandwidth', 'least', 'form', 'channel', 'subarray', 'beamformer', 'beam', 'response']","['mhz', 'pulsar', 'beamforming', 'cspmidcbf', 'rfi', 'channels', 'subarrays', 'phase', '40', 'dualpolarization']","['For any Band and for each Pulsar Timing beam, CSP_Mid.CBF shall:\n1. form 3500 to 4096 equally-spaced spectral channels across the 200 MHz Frequency Slice beamforming bandwidth such that the total aliased power in at least the central 87.5% of each channel contains, in the absence of RFI, less than -60 dB total aliased power,\n2. the peak-to-peak variation in amplitude across at least the central 87.5% of each channel is less than 0.1 dB and,\n3. form channels which are linearly spaced and provide contiguous bandwidth coverage meeting bullet 1. and\n2. requirements across the full beamformed bandwidth of one or more Frequency Slices.', 'When commanded, each Frequency Slice Processor of CSP_Mid.CBF which is configured for Pulsar Search beamforming, shall form at least up to 192 Pulsar Search beams, aggregate across all subarrays, on at least one Search Window for each subarray.', 'When commanded, CSP_Mid.CBF shall form up to 16 dual- polarization Pulsar Timing phase-delay beams, distributed arbitrarily across one or more subarrays, within each Frequency Slice Processor configured for Pulsar Timing beamforming.']"
17,18,17_warranties_warranty_warrants_repair,"['warranties', 'warranty', 'warrants', 'repair', 'maintenance', 'manufacturers', 'merchantability', 'replacement', 'invalidate', 'products']","['warranty', 'seller', 'products', 'errors', 'software', 'repair', 'omissions', 'buyer', 'defective', 'project']","['warranties', 'repair', 'merchantability', 'liability', 'contract', 'hardware', 'errors', 'modifying', 'software', 'disclaim']","[' The seller shall not warranty standard maintenance of products and failure to perform maintenance as would be considered standard on similar equipment or which have been subject to misuse neglect or accident will invalidate any warranty for the Products in whole or part. ', ' Any modification repair or alteration of products including but not limited to the upgrade of software or firmware of any individual part of or interface to the Products except by the Seller shall invalidate any warranty for the Products in whole or part. ', ' If the buyer submits to the seller that the products do not conform to the warranty the seller shall inspect the products to determine their status and if the products are found not to conform with warranty then the Seller will repair replace or modify the Products at the Sellers option and at no cost to the Buyer and the Non conforming Products shall be defined as documentable recurring errors that do not perform as specified in the contract specification and Such repair or replacement shall be the only remedy of the Buyer for any breach of warranty. ']"
18,17,18_precision_pointing_circle_perreceptor,"['precision', 'pointing', 'circle', 'perreceptor', 'arcsec', 'rms', 'range', 'calibration', 'measured', 'performance']","['pointing', 'arcsec', 'circle', 'performance', 'total', 'full', 'range', 'interval', 'seconds', 'great']","['precision', 'circle', 'perreceptor', 'arcsec', 'rms', 'range', 'calibration', 'tracking', 'target', 'tolerance']","['The total per-receptor Relative Pointing Error Circle diameter under Precision Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 6.5 arcsec.', 'The total per-receptor RMS Relative Pointing Error under Precision Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 1.3 arcsec RMS.', 'The total per-receptor RMS Relative Pointing Error under Degraded Operating Conditions, between any two points within the full performance pointing range that are separated by up to 10° great circle distance and measured within a time interval of 100 seconds, shall be <= 5.2 arcsec RMS.']"
19,17,19_wires_wire_coils_wiring,"['wires', 'wire', 'coils', 'wiring', 'coil', 'splices', 'terminals', 'connections', 'crimped', 'crimping']","['wire', 'coil', 'ft', 'coils', 'wiring', 'junction', 'ends', 'inside', 'terminations', 'terminal']","['wires', 'coil', 'splices', 'crimp', 'distributor', 'storing', 'boxes', 'instructions', 'labels', 'minimum']","['The container shall also carry, in a different location, the name and/or brand name of the wire manufacturer, and necessary instructions for storing and handling', 'The container shall also carry, in a different location, the name and/or brand name of the wire manufacturer, and necessary instructions for storing and handling', 'all wire ends will have crimped metal shunt ends the appropriate size for the wiring being used bare wire ends can be used for incoming high voltage terminal connections greater the 480v only appropriate controlled pressure crimping tools will be used to crimp wires during assembly.']"
20,17,20_bobbins_yarn_bobbin_spools,"['bobbins', 'yarn', 'bobbin', 'spools', 'spool', 'spindles', 'spindle', 'loaders', 'combs', 'creel']","['yarn', 'bobbin', 'creel', 'mm', 'inches', 'bobbins', 'spindle', 'spools', 'guide', 'end']","['bobbins', 'yarn', 'spools', 'spindles', 'loaders', 'creel', 'comb', 'guides', 'pins', 'sizelength850']","['Full PAN bobbins will be loaded on the Creel spindles by an Automated Creel Loading System Two (2) Creel Loaders will travel along the aisles between creel frames on a rail The Creel Loaders will remove spent bobbin spools and replace them with full PAN bobbins.', 'When the yarn is near the end on the bobbin spools at the end of a production run, the operators cut the yarn and tie it to the nearest yarn guide.', 'Each spindle shall allow approximately 300 mm (12 inches) of unsupported bobbin spool length to allow room for the Creel Loaders to grip and support bobbin spools while loading and unloading Creel.']"
21,15,21_tooling_tools_equipment_components,"['tooling', 'tools', 'equipment', 'components', 'features', 'replacing', 'feature', 'interchanged', 'detect', 'fixtures']","['tooling', 'incorrect', 'tools', 'fixtures', 'parts', 'orientation', 'change', 'placement', 'equipment', 'replacement']","['tooling', 'equipment', 'features', 'replacing', 'fixtures', 'adjustments', 'indicators', 'calibration', 'debugging', 'plate']","['equipment shall detect tooling type and incorporate poka yoke features equipment shall alarm if tooling is installed incorrectly or if the wrong tooling is installed the tooling should have visual indicators to facilitate change over.', 'supplier will provide setup tools and jigs to eliminate measurements or debugging after change out tooling or fixtures are installed.', 'equipment shall detect proper presence, placement and orientation of all loaded components in the correct amount two possible methods listed in order of preference are: a) mechanical mating feature blocking missing parts, multiple parts (e.g. insulators, washers), incorrect parts, incorrect orientation, or incorrect placement b) control logic to block missing parts, multiple parts (e.g. insulators, washers), incorrect parts, incorrect orientation, or incorrect placement.']"
22,14,22_suppliers_supplier_inspections_fabrication,"['suppliers', 'supplier', 'inspections', 'fabrication', 'purchasers', 'purchaser', 'specifications', 'requirements', 'approval', 'contract']","['purchaser', 'approval', 'tests', 'fabrication', 'performance', 'necessary', 'requirements', 'lead', 'inspections', 'producer']","['suppliers', 'inspections', 'purchaser', 'requirements', 'welder', 'guarantee', 'certifications', 'deemed', 'fabricating', 'authorization']","['Prior to starting fabrication the Supplier and the Supplierís approved Sub-Suppliers shall submit the following for Purchaser approval: Weld Repair Procedures.', 'The Supplier shall guarantee system performance and component design in accordance with the Purchaserís documents and data Should the system or components not perform in accordance with the Purchaserís documents and data, the Supplier shall make the necessary adjustments for compliance with that specified by the Purchaser in a timely manner at no charge to the Purchaser All repairs and replacements must be approved by the Purchaser prior to the work being performed.', 'The Supplier shall allow the Purchaser to observe the equipment at interim stages of fabrication in order to approve the release of any agreed to payments Any deviations from the agreed to specifications found during the observation shall be revised or corrected at no charge to the Purchaser The Supplier is not relieved of any contractual obligation by any observation unless specifically made in writing by the Purchaser.']"
23,14,23_welded_tube_commissioning_equipment,"['welded', 'tube', 'commissioning', 'equipment', 'contracting', 'configuration', 'conveyors', 'installation', 'tooling', 'aec']","['tube', 'responsible', 'installation', 'supply', 'site', 'startup', 'configuration', 'resonant', 'machines', 'customs']","['welded', 'commissioning', 'equipment', 'contracting', 'installation', 'aec', 'cabinet', 'scheduling', 'customs', 'documentation']","[' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of all bucker units including tooling. ', ' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of all entry and exit vrollers conveyors escapement mechanisms and AEC shall work with Welded Tube to verify handshaking signals between conveyors and AEC equipment. ', ' Welded Tube shall be responsible for the supply installation configuration startup and commissioning of the equipment. ']"
24,14,24_welded_structural_frame_frames,"['welded', 'structural', 'frame', 'frames', 'constructed', 'built', 'extrusions', 'tubing', 'reinforced', 'tubular']","['structural', 'frame', 'members', 'frames', 'station', 'box', 'process', 'end', 'loads', 'framework']","['welded', 'structural', 'frames', 'extrusions', 'braced', 'engineer', 'stresses', 'presses', 'sides', 'astm']","[' Each box end threading inspection station frame shall be constructed of welded structural members. ', ' Each lift station frame shall be constructed of welded structural members. ', ' Each lift station frame shall be constructed of welded structural members. ']"
