text,label
"If sufficient companion test bars are unavailable, the manufacturer shall have the option of testing a specimen cut from a representative casting. Therefore, as stated in X1.3, the mechanical properties of such tension test specimen removed from a production casting will not necessarily correspond to those of a standard separately cast test specimen, the values in Table 1 do not apply. Instead, the mechanical properties of the test specimen from the casting must equal or exceed the average of those from similar test specimens removed from the same location from two castings of the same design where separately cast test bars meet the requirements of Table 1.",standard
Where the Origin Cloud supports OCF Device to Cloud Services this may be triggered by reception of a RETRIEVE to a URI exposed by a Link in the OCF Cloud Resource Directory from an OCF Client.,standard
"The results of all tests, including retests, shall be posted in permanent record, which shall state any abnormali_x0002_ties observed during the test and in the fractured ends. Such records shall be kept for at least one year after shipment of the production castings and shall be available for examination by the purchaser or by his authorized representative",standard
 The vrollers of the box end threading inspection station shall then return to the up position and shall be prepared to accept the next pipe. ,requirement
The SKA1_Mid dishes shall provide a mechanism to adjust signal levels to trade off quantization efficiency for RFI headroom,requirement
"When commanded, CSP_Mid.CBF shall output up to a total of 16 dual-polarization Pulsar Timing voltage beams constrained to an aggregate beam-bandwidth product of 20 GHz per polarization, spread across one or more subarrays.",requirement
Gate stand dimensions shall be sufficient to accommodate the gate or gates required.,standard
"The TM shall send pointing commands, as a polynomial of higher order Pointing Coordinate Sets, to the DSH Dish.",requirement
"If agreed upon in writing by the foundry and purchaser, the malleable iron castings may be required to meet special conditions, hardness or other property dimensions, surface quality, or a combination of conditions",standard
"All castings of Grades N-2, 60-30 [415-205], 65-35 [450-240], 70-36 [485-250], and 70-40 [485-275] shall be heat treated by annealing, normalizing, normalizing and tempering, or quenching and tempering. Unless otherwise specified in the inquiry, contract, or order, the castings may be heat treated by any one or combination of these heat treatments at the option of the manufacturer.",standard
"A vendor may extend the list of OAuth2.0 access token scopes beyond those listed in Table 2. They are extended by adding additional vendor-specific information before the * in the OAuth2.0 access token scope name (e.g. ""r:xyz:*""). How these extensions work is outside the scope of the OCF but they may be present in the OAuth2.0 access token request. Note that if the user gives consent to the Origin Cloud to ""w:*"", consent applies also to any derived OAuth2.0 access token scopes (e.g. ""w:xyz:*"").",standard
The frerCpsSeqRcvyTaglessPackets counter is incremented once for each packet received by the VectorRecoveryAlgorithm (7.4.3.4) or the MatchRecoveryAlgorithm (7.4.3.5) that has no sequence_number subparameter (item b in 6.1).,standard
"The counters in this subclause are instantiated for each port on which the Stream identification function (6.2) is configured. They are indexed by port number. Encoded as unsigned integers, they shall be 64 bits in length to ensure against excessively short wrap times when used on links on which transmission rate exceeds 650 000 000 bits per second.",standard
shielded communication wiring will not run parallel with non-inductive low voltage ac load wiring (< 65 volts) closer than 4 inches.,requirement
"CSP_Mid.CBF LRU equipment that radiate electromagnetic emissions in the SKA1 frequency range and that aren't within a shielded enclosure of a higher level LRU, shall at a minimum be compliant with the IEC 61000-6-3 standard
or equivalent for conducted and radiated emissions under standard test conditions and setups in the SKA Mid telescope frequency range specified in the SKA EMI/EMC Standards and Procedures [SKA-TEL-SKO-0000202].",requirement
"All structural frames shall be fabricated in accordance with AISC specifications and other applicable codes and standards as listed in Section 3.0, titled ìIndustry Codes and Standardsî The design of structural components shall be under the direct supervision of a registered professional engineer experienced in the design of this type of equipment.",requirement
Heat treatment shall be performed after castings have been allowed to cool from the pouring temperature to below the transformation range,standard
The 'LanguagePreferredList' element contains one or more 'LanguagePreferredComponentDef' elements.,standard
"The values stated in either SI units or inch-pound units are to be regarded separately as standard. The values stated in each system may not be exact equivalents; therefore, each system shall be used independently of the other. Combining values from the two systems may result in nonconformance with the standard",standard
"CSP_Mid.CBF shall digitally re-sample data, that may be sampled at a different rate at each SKA1_Mid receptor, to a common rate before performing any cross-correlation or beamforming operations.",requirement
"Stands constructed of concrete pipe having diameters greater than 600 mm (24 in.) shall use Class II Reinforced Concrete Pipe as specified in ASTM Standard C76, Specifications for Reinforced Concrete Culvert, Storm Drain, and Sewer Pipe, or be designed for the anticipated heads",standard
all sensors will have 'quick disconnect' fittings between the sensor and the termination point.,requirement
"If, after testing, a specimen shows evidence of a defect, another tension test may be made on a companion specimen. Also, a retest shall be permitted whenever fracture occurs outside the central 50 % of the gage length.",standard
"An arbitrary character code or character code sequence that is specified by the '0x' prefix followed by multiples of two hexadecimal digits whereby each two hexadecimal digits represent a single byte. If a Unicode code point or Unicode code point sequence is used, it should be specified according to ICU's UnicodeSet pattern syntax",standard
"Concrete box stands with vertical sides suitably reinforced to withstand handling and installation, and operating stresses.",standard
"The Dish shall identify all internal faults down to LRU level as defined through the LSA process.
{not compliant to L1}",requirement
"The maximum latency from arrival of SKA1_Mid receptor data at the I.S1M.SADT_CSP.009 interface boundary, until present at the CSP_Mid.CBF Pulsar Search beamformer output, shall be 2 seconds.",requirement
"Finish the surface so that deviations do not exceed 1/2 in. (15 mm), longitu-
dinal or transverse, when tested according to Subsection 401.3(L)(1).",standard
"DSH, when in the STOW mode, and when in FULL_POWER state, shall be able to perform data capture and transmission.",requirement
 The Welded Tube supplied CNC equipment shall be able to accommodate an estimated forty seven to twenty five pieces per hour of four and a half inch diameter pipes to nine and five eighths diameter pipes at forty eight feet in length. ,requirement
"Test specimens for the bend test specified in Section 11 and for the flattening tests shall consist of sections cut from a pipe. Specimens for flattening tests shall be smooth on the ends and free from burrs, except when made on crop ends",standard
"When the size of the casting permits, each casting shall bear the identifying mark of the manufacturer and the part or pattern number at a location shown on the covering drawing and, if not shown on the drawing, at such a location at the discretion of the producer that the identification will not interfere with subsequent processing and service of the casting",standard
"With the tube operating as outlined in note 4, a small portion of the tube envelope shall be cooled by the application of solid CO2. The ratio of the minimum reading of the output meter (Po2) to that obtained before the application of solid CO2 (Po2) shall be less than the given value, and the final reading shall be less than the initial one.",standard
"Friction loss for mortar-jointed, rubber-gasket, or cast-in-place pipelines shall be computed using Scobey’s concrete pipe equation with a coefficient of retardance Ks = 0.310 or Manning’s equation with roughness coefficient n = 0.013. For extra smooth rubber-gasket pipe, the Scobey coefficient of retardance may range up to Ks = 0.370 and the Manning’s roughness coefficient down to n = 0.011. Minor losses can be computed in accordance with current practices.",standard
"When agreed upon by the purchaser and producer, the maximum decarburization at any as-cast surface after heat treatment may be stipulated in writing, as measured by visual depletion of combined carbon after polishing, etching in nital, and viewing at 100×.",standard
"CSP_Mid.CBF repairable items shall have maintenance provisions such as test points, accessibility, and plug-in components.",requirement
 Each threading line shall have a box end drift and threading protector station. ,requirement
"When commanded, CSP_Mid.CBF shall accept and interpret data from SKA1 Mid DISHes according to the protocol defined in the DISH to CSP ICD.",requirement
"All castings, on visual examination, shall be sound and free of obvious shrinkage and porosity",standard
"In reference work, the metallographic practice recom_x0002_mended in Test Method A247 shall be follow",standard
This specification2 covers ferritic malleable castings for general engineering usage at temperatures from normal ambi_x0002_ent to approximately 400 °C [750 °F].,standard
"Contact portion of disc measured radially which shall be free from splits or tears, shall be smooth and shall be perceptibly flat.",standard
"Coils of wire shall be shipped in suitable containers providing adequate protection for shipping, storage, and distribution.",standard
"A Unicode code point or Unicode code point sequence that is specified with a notation that uses Unicode scalar values, substituting the ""U+"" prefix with a ""u"" prefix, such as ""u4E00"" for U+4E00",standard
each assembly operation will inspect for presence of parts at all times so as not to loose control of their location and positioning one shot programming for detectionís shall not be used; only continuous input shall be used.,requirement
"The 960 m (3150 ft) coil shall be shipped two in a carton which shall be marked as follows: Package No. 3150 ASAE Standard Baling Wire (2 coils), 141/2 gage, 960 m (3150 ft) minimum per coil",standard
 Welded Tube shall be responsible for all power air and other utility drops to the machines while the power and other utilities will be brought to AEC designated connection points on the machine. ,requirement
"If the first test results indicate that a reheat treatment is needed to meet the test requirements, the entire lot of castings and the representative test specimens shall be reheat treated together. Testing shall then be repeated in accordance with 7.4.1 – 7.4.3.",standard
Sufficient material shall be removed from the cast surface to ensure that the measured surface is representative,standard
No precise quantitative relationship can be stated be_x0002_tween the properties of the iron in various locations of the same casting and those of a test specimen cast from the same iron,standard
"If the first test results indicate that a reheat treatment is needed to meet the test requirements, the entire lot of castings and the representative test specimens shall be reheat treated together. Testing shall then be repeated in accordance with 7.4.1 – 7.4.3.",standard
"A transverse tension test shall be made on a specimen from one end or both ends of each pipe NPS 8 [DN 200] and over. If this supplementary requirement is specified, the num_x0002_ber of tests per pipe shall also be specified. If a specimen from any length fails to meet the required tensile properties (tensile, yield, and elongation), that length shall be rejected subject to retreatment in accordance with Specification A530/A530M and satisfactory retest",standard
 Each of the vrollers on the threading station shall drive the pipe into the self centering vrollers past a proximity sensor that indicates when to decrease transfer speed. ,requirement
Factors influencing the properties of castings and their relationship to those of test specimens and separate test castings are discussed in Appendix X1.,standard
"Complete wet mixing, lay down, and finishing operations within 2 after adding cement.
Suspend work when windy conditions cause a cement loss.",standard
"all teach pendants must have a ìdead manî switch requiring the operator to use two-hands (one hand for the dead-man, one hand for the motion) when making any manual motion.",requirement
 Each box end drift and threading protector station paddle lift shall lower the pipe onto the box end drift and threading protector station vrollers. ,requirement
CSP_Mid.CBF shall provide equipment handles and stand-offs to facilitate the installation and handling and to mitigate damage of the equipment during out-of-system repair.,requirement
"specialty tools for alignment, work, changeover, or set up will be provided along with replacement information from the source vendor or detailed drawings of the replacement tools.",requirement
 Each box end pipe dope station frame shall be constructed of welded structural members. ,requirement
"The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Drive and other equipment guards (metallic only).",requirement
The chemical composition of the iron shall be such as to produce the structural and mechanical properties required by this specification,standard
alternate solutions may be acceptable after review and approval by pierburg inc. .,requirement
Downstream from all shutoff valves for vacuum relief.,standard
"When under CSP_Mid.LMC control, for each subarray, CSP_Mid.CBF shall change parameters which are settable by CSP_Mid.LMC, only when commanded to do so by CSP_Mid.LMC.",requirement
The Creel height shall not exceed 17í-6î above the operating floor.,requirement
 The project shall incorporate a high speed threading table. ,requirement
Each CSP_Mid.CBF cable end shall carry an identifier that uniquely defines the connector it needs to connect to.,requirement
"When castings are specified for government procurement, the location of the permanent markings specified in 15.1, as well as any special marking for mechanical or physical properties (either permanent or temporary), shall be as indicated on the government drawings or sketches.",standard
The H-F electrode shall be concentric with the disc electrode within .018(.46 mm).,standard
CSP_Mid.CBF shall be compliant with the RoHS Directive 2011/65/EU (RoHS 2) or equivalent.,requirement
"Correct surface irregularities to prevent the formation of depressions or water pockets. Compact
topsoil lightly to ensure contact with the underlying soil and to create a uniform seedbed.",standard
"When agreed upon by the purchaser and producer, the maximum decarburization at any as-cast surface after heat treatment may be stipulated in writing, as measured by visual depletion of combined carbon after polishing, etching in nital, and viewing at 100×",standard
"For castings of such size or shape that do not permit Brinell testing with the standard 3000 kgf load, the 500 kgf may be employed, the hardness number being reported as HB 10/500/15. In very unusual cases where it is impossible to use the Brinell method, the Rockwell test may be substituted, using Test Methods E18 with an appropriate Rockwell scale. Con_x0002_versions of hardness values from one method to another according to Hardness Conversion Tables E140, which does not specifically cover cast irons, are approximate only and, therefore, are generally inadvisable.",standard
"Tension test results, obtained in accordance with the above subsections, must conform to the values of Table 1 for acceptance under this specification except as provided in 7.4.3",standard
"Unless otherwise specifically agreed to, the acceptability of the pipeline shall be determined by inspections to determine compliance with the provisions of this Standard with respect to the design of the pipeline and appurtenances, the materials used, workmanship, and the minimum installation requirements. Compliance shall not be binding for conditions related to earthquake or land settlement damage (except from improper trench bottom preparation or inadequate foundations for structures), external damage not caused by the parties involved, or leakage of mortar-jointed or cast-in-place pipe caused by water of temperature less than 50 °F (10 °C).",standard
 The operator training shall include a review of safety means and devices startup shutdown setup transition between modes alarms maintenance messages and warnings general description of the installation including description of assemblies and subassemblies and identification of equipment. ,requirement
 Each threading line shall have a box end high speed threading station. ,requirement
"Over the elevation range from zenith down to 30° above the horizon, under precision and standard operating conditions, each SKA1_Mid dish shall achieve Dish sensitivity
exceeding a line interpolated linearly between 2.1 m2/K at 350 MHz, 4.2 m2/K at 650 MHz and 4.2 m2/K at 1050 MHz in both polarization channels over SPF band 1.",requirement
The tube shall be mounted in the specified external cavity and placed between a matched generator and detector. The signal generator frequency shall be varied to obtain the resonant frequency of the tube and cavity as evidenced by a pronounced peak at the output indicator. The value of this resonant frequency shall be within the limits specified,standard
"The test methods described in this section are not necessarily capable of inspecting the end portion of pipes, a condition referred to as “end effect.” The length of such end effect shall be determined by the manufacturer and, when specified in the purchase order, reported to the purchaser.",standard
"CSP_Mid.CBF racks shall survive a main power interruption at any time, without requiring a repair activity to restore it once power is restored.",requirement
"
CSP_Mid.CBF shall use 42U 19” CSP racks with dimensions 600mm wide x 1070mm deep in accordance with the latest approved version of the MID CSP to INFRA ICD.",requirement
Fabricated stainless steel shall be ìLî grade stainless steel unless otherwise noted.,requirement
"2 If the purchaser should find that a casting or lot of castings fails to comply with this specification subsequent to receipt at his facility, he shall so notify the manufacturer promptly and in no case later than six weeks after receipt of the shipment, stating clearly his basis for rejection. In case of dissatisfaction with the purchaser’s claim, the manufacturer may apply for a hearing before final rejection of the shipment",standard
"Steel cast in ingots or strand cast is permissible. When steels of different grades are sequentially strand cast, identifi_x0002_cation of the resultant transition material is required. The producer shall remove the transition material by any estab_x0002_lished procedure that positively separates the grades.",standard
 Each threading line shall have a box end end blast station. ,requirement
 Each box end end blast station shall have a fixed pipe stop. ,requirement
spring loaded terminal strip connections can only be used in io blocks areas for wire terminations; all other terminations are to be screw type terminals.,requirement
"The 'mapChar' element maps from arbitrary character codes or arbitrary character code sequences, including Unicode, to Unicode.",standard
"The steel shall conform to the requirements as to chemical composition prescribed in Table 1. Product analysis tolerances shall conform to the Product Analysis Tolerances shown in Specification A781/A781M or Specification A957/ A957M. When residual element chemical content is of interest to the purchaser, S54 may be considered",standard
"When imperfections or defects are removed by grinding, a smooth curved surface shall be maintained, and the wall thickness shall not be decreased below that permitted by this specification. The outside diameter at the point of grinding is permitted to be reduced by the amount so removed",standard
Stands shall be placed at each inlet to a concrete irrigation pipe system and at such other points as required. All stands shall be installed on a base adequate to support the stand and to prevent undue movement or stress on the pipeline. All stands shall serve as vents in addition to their other functions as follows,standard
"Concrete pipelines shall not be installed on sites where the sulfate salt concentration exceeds 1.0% as water soluble sulfate in soil samples, or 4000 parts per million (ppm) sulfate in groundwater samples. Concrete pipe shall be made with cement of the type shown for the following conditions",standard
"The Engineer will measure cement-treated base course by the yd2 (m2) or by the individual
components for material and processing, as established in the contract.",standard
automatic run time ñ collective time by shift that the machine runs in automatic jog mode without waiting for the upstream or the downstream.,requirement
"When instantiating an instance of the Mask-and-match Stream identification function (6.8) for a particular input Stream, the managed objects in the following subclauses serve as the tsnStreamIdParameters managed object (9.1.1.2)",standard
"When commanded, CSP_Mid.CBF shall, for each subarray independently, tune the center frequency of Frequency Slices for Bands 1, 2, 3, and 4 over a range of at least +/-1/2 of a Frequency Slice bandwidth within the received Band, with tuning resolution of at least 0.01 MHz.",requirement
Outside end of wire shall bear a tag containing only the manufacturer’s identification; inside end of coil shall be bent over the tie at the inside diameter,standard
 Every project shall operate within the Quality Management System of the AEC which is registered to ISO 9001 2008 standards. ,requirement
"
When commanded, CSP_Mid.CBF shall process up to 700 MHz per polarization of contiguous RF (sky) data within the Band 1 band of interest.",requirement
"Data in the packet shall be organised serially in time, with the first sample being the oldest.",requirement
 Welded Tube shall be responsible for providing 480VAC drops to each machine control cabinet for each threading line and the main disconnect load shall be provided upon detailed design. ,requirement
CSP_Mid.CBF equipment hardware failures and software errors shall not create hazardous conditions in interfacing elements and sub-elements.,requirement
Test coupons may be cut from the heat-treated (if required) castings at the producer’s option.,standard
CSP_Mid.CBF rack equipment shall have a power factor in accordance with the latest approved version of the MID CSP to INFRA ICD.,requirement
the operator panel for each module or system must report all machine stops and a reason why it occurred.,requirement
"This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appro_x0002_priate safety, health, and environmental practices and deter_x0002_mine the applicability of regulatory limitations prior to use",standard
"When commanded, CSP_Mid.CBF shall be a data source for one or more VLBI data acquisition systems as defined in the MID CSP to VLBI ICD.",requirement
"CSP_Mid.CBF shall accommodate, and automatically and continuously compensate for unknown and slowly changing but constrained sampled data transmission delays from SKA1_Mid receptors between 1 microsecond and 1 millisecond, measured from the physical SADT-DSH DDBH (I.S1M.SADT_DSH.001) interface boundary to the physical SADT-CSP DDBH (I.S1M.SADT_CSP.009) interface boundary or directly from DSH from the physical I.S1M.DSH_CSP.001 egress boundary in the receptor to the ingress boundary of the same in CSP_Mid.CBF.",requirement
Salvage and stockpile topsoil before beginning earthwork operations. Place sediment controls before beginning salvage operations. Stockpile topsoil so as not to interfere with natural drainage or cause off-site sediment damage. Limit stockpile side slopes to a steepness of 2:1 (1:2).,standard
"Cure and protect lime-fly ash-treated subgrade and base courses as
specified in Subsection 308.3(J).",standard
 Each lift station fixed pipe stop shall be constructed of a thick heavy duty urethane cover with steel under lament for rigidness. ,requirement
"The sizes listed in Table 2 are typical as shipped from the manufacturer’s plant. These alloys exhibit varying degrees of friability; therefore, some attrition may be expected in transit, storage, and handling. A quantitative test is not avail_x0002_able for rating relative friability of ferroalloys. A code system has been developed, therefore, for this purpose, and a number rating for each product type is shown in the last column of Table 2. Definitions applicable to these code numbers are given in Specification A1025/A1025M.",standard
"As specified in Subsection 703.4(C)(1), the
engineer may use reclaimed aggregates from the project or from stockpiles off the project.",standard
"Mechanical marks and abrasions—such as cable marks, dinges, guide marks, roll marks, ball scratches, scores, and die marks—and pits, any of which imperfections are deeper than 1⁄16 in. [1.6 mm]",standard
"If the results of a valid test fail to conform to the requirements of this specification, two retests shall be made. If either retest fails to meet the specification, the castings repre_x0002_sented by these test specimens shall be rejected. A valid test is one wherein the test specimen has been properly prepared and appears to be sound and on which the approved test procedure has been followed.",standard
"At the request of the purchaser, one tensile test shall be performed by the manufacturer on a test specimen from each heat of steel furnished which has been either stress relieved at 1250°F or normalized at 1650°F, as specified by the purchaser. Other stress relief or annealing temperatures, as appropriate to the analysis, may be specified by agreement between the purchaser and the manufacturer. The results of this test shall meet the requirements of Table 1",standard
 Each pipe shall stop plus or minus three hundredths of an inch inside the CNC threading machine. ,requirement
"The results of all tests, including retests, shall be posted in permanent record, which shall state any abnormali_x0002_ties observed during the test and in the fractured ends. Such records shall be kept for at least one year after shipment of the production castings and shall be available for examination by the purchaser or by his authorized representative",standard
"All openings into nonrubber-gasket pipelines shall be covered or closed to prevent air circulation, except while work is actually in progress, and shall be kept closed until the pipeline is completed and is to be filled with water",standard
The DSH shall report serial numbers for hardware components that provide digitally readable serial numbers,requirement
"When commanded, CSP_Mid.CBF shall process up to 1400 MHz per polarization of contiguous RF (sky) data within the Band 3 band of interest.",requirement
The pipe shall be clean and wet when placing the thrust block to provide a good bond between concrete and pipe. Where adequate soil tests are not available the allowable passive soil pressure shall be considered to be 24 kPa (500 lb/ft2).,standard
"The tensile strength shall be the maximum load carried by the specimen during the test divided by the original cross-sectional area of the gage length, as found in accordance with 7.3.2. It shall be reported to the nearest 100 psi [MPa].",standard
 Each pipe shall undergo end blast while rotating. ,requirement
Sufficient material shall be removed from the cast surface to ensure that the measured surface is representative,standard
"Stoppage and horizontal joints for cast-in-place pipelines shall conform to the requirements of ACI Standard 346, Specifications for Cast-in-Place Nonreinforced Concrete Pipe. Connection joints shall be prepared by cleaning and freeing of loose or defective concrete, coatings, and foreign material. The contact faces of the pipe and fittings shall be wetted and the fitting mortared into place using bonding mortar as specified in the above-referenced standard.",standard
"When commanded and with the CSP_Mid.CBF Administrative Modes set to OFFLINE, CSP_Mid.CBF shall detect and report the following faults:
1. Stuck or incorrect memory cells, whether a direct fault or manifested as such,
2. Calculation faults that may lead to incorrect data products, whether a direct fault or manifested as such.",requirement
CSP_Mid.CBF equipment that present a potential hazard shall display a label in accordance with ISO 7010 or equivalent.,requirement
All Engineering documents and data listed in the Vendor Data Requirements Form including but not limited to the following: Priced Critical Spares List.,requirement
The DSH shall be designed to be locally fail-safe and not be dependent on any external inputs from TM for safety.,requirement
The systems designed and/or installed under this Standard shall utilize pipe conforming to one or more of the following types of nonreinforced concrete irrigation pipe.,standard
All Engineering documents and data listed in the Vendor Data Requirements Form including but not limited to the following: Recommended Spare Parts Lists.,requirement
"Compact to a minimum of 95 percent of the maximum density as determined by AASHTO T 180
or AASHTO T 99. The Engineer will determine in-place density according to AASHTO T 191 or
T 310, correcting for oversized particles as necessary.",standard
 Each pipe shall be transferred by individually powered vrollers towards powered self centering vrollers which are also on the correct centerline height. ,requirement
"Rubber-gasket pipe shall not be placed with the joints rammed together so tight that longitudinal compression develops from wetting expansion of the pipe. If in doubt about any particular joint design, the end of the spigot shall be pulled back from the shoulder of the bell a distance not exceeding approximately 1.5 mm (0.06 in.)",standard
"Install construction joints where concrete placement operations are interrupted for
more than 30 minutes. Place a header to create a vertical face that is perpendicular to the
centerline, and use tie bars as needed.",standard
 Each threading line should have a pin end end blasting station. ,requirement
"Mix the lime and water into the soil to form a uniform, homogeneous mixture with
100 percent passing a 3-in. (75-mm) sieve. Reshape the mixed layer to the specified line,
grade, and cross section. For Class 1 and 2 stabilization, seal the surface with a roller. For
Class 3 stabilization, compact and finish.",standard
"Steel investment castings furnished to this specification shall conform to the requirements of Specification A957/ A957M, including any supplementary requirements that are indicated in the purchase order. Failure to comply with the common requirements of Specification A957/A957M consti_x0002_tutes nonconformance with this specification. In case of con_x0002_flict between the requirements of this specification and Speci_x0002_fication A957/A957M, Specification A957/A957M shall prevail.",standard
"If the algorithm exports two or more non-mutually exclusive (intersect) categories or states, it can be divided into multiple binary categories to form a confusion matrix (shown in Table A.2, “negative” and “positive” are defined according to product functional characteristics) for evaluation.",standard
"Unless otherwise specified, pipe NPS 2 [DN 50] and over shall be furnished hot finished. When agreed upon between the manufacturer and the purchaser, it is permissible to furnish cold-drawn pipe",standard
"Mechanical air vents, as described below, may be used in lieu of open vents. Actual orifice sizes are generally smaller than the nominal (thread) size of the vents",standard
"Any component of the Dish shall not emit electromagnetic radiation between 300 MHz and 20 GHz, which produces a power spectral density, that is received by an isotropic receiver at the Feed, that is greater than:
- The Spectral Line power threshold levels defined by:
  as measured with a RBW of 0.001% of centre 
- The Continuum power threshold levels defined by:
as measured with a RBW of 1% of centre frequency.",requirement
"When instantiating an instance of the Active Destination MAC and VLAN Stream identification function (6.6) for a particular output Stream, the managed objects in the following subclauses",standard
A Re-Direct Roller System shall be provided at the front of the Creel to re-direct the yarn from the width of the Creel to the width of the production line as specified in paragraph 9.1.7.,requirement
The designation “HF” shall be stamped or marked on each pipe to signify that the pipe complies with this supple_x0002_mentary requirement,standard
"Required. The 'LanguagePreferredComponentDef' element contains a single 'Language' element and one or more 'ComponentDef' elements. If the same 'ComponentDef' element is meant to serve more than one language, multiple instances of the 'LanguagePreferredComponentDef' element may be specified.",standard
"Coils shall be banded securely with a minimum of three ties on the 1981 m (6500 ft) coil and the 960 m (3150 ft) coil, evenly spaced",standard
